Skills,Occupation Code,Weight
Exposed to disease or infections,13-2011.01,1
Exposed to disease or infections,13-2053.00,1
Exposed to disease or infections,13-2061.00,1
Exposed to hazardous conditions,13-1111.00,1
Exposed to hazardous conditions,13-1161.00,1
Exposed to hazardous conditions,13-2053.00,1
Exposed to hazardous equipment,13-1071.00,1
Exposed to hazardous equipment,13-1161.00,1
Exposed to hazardous equipment,13-1199.04,1
Exposed to hazardous equipment,13-2053.00,1
Exposed to high places,13-1041.03,1
Exposed to high places,13-1111.00,1
Exposed to high places,13-1141.00,1
Exposed to high places,13-1161.00,1
Exposed to high places,13-1199.03,1
Exposed to high places,13-2011.01,1
Exposed to high places,13-2053.00,1
Exposed to high places,13-2072.00,1
Exposed to high places,13-2081.00,1
Exposed to minor burns cuts bites or stings,13-1041.03,1
Exposed to minor burns cuts bites or stings,13-1199.03,1
Exposed to minor burns cuts bites or stings,13-1199.04,1
Exposed to minor burns cuts bites or stings,13-2011.02,1
Exposed to minor burns cuts bites or stings,13-2052.00,1
Exposed to minor burns cuts bites or stings,13-2082.00,1
Exposed to minor burns cuts bites or stings,13-2099.01,1
Exposed to radiation,13-1041.07,1
Exposed to radiation,13-1051.00,1
Exposed to radiation,13-1075.00,1
Exposed to radiation,13-1081.00,1
Exposed to radiation,13-1199.01,1
Exposed to radiation,13-1199.03,1
Exposed to radiation,13-2081.00,1
Exposed to radiation,13-2099.01,1
Exposed to whole body vibration,13-1041.03,1
Exposed to whole body vibration,13-1041.06,1
Exposed to whole body vibration,13-1074.00,1
Exposed to whole body vibration,13-1081.00,1
Exposed to whole body vibration,13-1111.00,1
Exposed to whole body vibration,13-1131.00,1
Exposed to whole body vibration,13-1199.02,1
Exposed to whole body vibration,13-1199.03,1
Exposed to whole body vibration,13-1199.05,1
Exposed to whole body vibration,13-2061.00,1
Exposed to whole body vibration,13-2099.04,1
Extremely bright or inadequate lighting,13-2053.00,1
In an open vehicle or equipment,13-1031.02,1
In an open vehicle or equipment,13-1071.00,1
In an open vehicle or equipment,13-1141.00,1
In an open vehicle or equipment,13-1199.05,1
In an open vehicle or equipment,13-2011.01,1
In an open vehicle or equipment,13-2011.02,1
In an open vehicle or equipment,13-2052.00,1
Indoors not environmentally controlled,13-2051.00,1
Indoors not environmentally controlled,13-2099.01,1
Outdoors exposed to weather,13-2011.01,1
Outdoors exposed to weather,13-2099.01,1
Outdoors under cover,13-2051.00,1
Pace determined by speed of equipment,13-1041.07,1
Pace determined by speed of equipment,13-1151.00,1
Pace determined by speed of equipment,13-1199.04,1
Pace determined by speed of equipment,13-2011.01,1
Spend time bending or twisting the body,13-1131.00,1
Spend time climbing ladders scaffolds,13-1111.00,1
Spend time climbing ladders scaffolds,13-1131.00,1
Spend time climbing ladders scaffolds,13-1161.00,1
Spend time climbing ladders scaffolds,13-1199.03,1
Spend time climbing ladders scaffolds,13-1199.04,1
Spend time keeping or regaining balance,13-1041.03,1
Spend time keeping or regaining balance,13-1071.00,1
Spend time keeping or regaining balance,13-1111.00,1
Spend time keeping or regaining balance,13-1131.00,1
Spend time keeping or regaining balance,13-1199.03,1
Spend time keeping or regaining balance,13-2061.00,1
Spend time kneeling crouching stooping,13-1199.04,1
Spend time kneeling crouching stooping,13-2011.01,1
Spend time kneeling crouching stooping,13-2071.01,1
Biology,13-2031.00,2
Building and construction,13-1131.00,2
Building and construction,13-1151.00,2
Building and construction,13-2052.00,2
Building and construction,13-2099.01,2
Chemistry,13-1161.00,2
Chemistry,13-2021.02,2
Design,13-2061.00,2
Design,13-2071.00,2
Engineering and technology,13-1131.00,2
Engineering and technology,13-2071.00,2
Fine arts,13-1199.04,2
Fine arts,13-2031.00,2
Fine arts,13-2071.00,2
Fine arts,13-2071.01,2
Fine arts,13-2072.00,2
Food production,13-1011.00,2
Food production,13-1131.00,2
Food production,13-1151.00,2
Food production,13-1161.00,2
Food production,13-2071.00,2
Geography,13-2071.01,2
Mechanical,13-1161.00,2
Mechanical,13-2071.00,2
Medicine and dentistry,13-1111.00,2
Medicine and dentistry,13-1199.06,2
Medicine and dentistry,13-2031.00,2
Therapy and counseling,13-2011.01,2
Handling and moving objects,13-2099.01,2
Repairing and maintaining electronic equipment,13-1022.00,2
Repairing and maintaining electronic equipment,13-1111.00,2
Repairing and maintaining mechanical equipment,13-1131.00,2
Repairing and maintaining mechanical equipment,13-1151.00,2
Repairing and maintaining mechanical equipment,13-1161.00,2
Repairing and maintaining mechanical equipment,13-2031.00,2
Cramped work space awkward positions,13-2071.01,2
Deal with physically aggressive people,13-1041.07,2
Deal with physically aggressive people,13-1051.00,2
Deal with physically aggressive people,13-1199.05,2
Deal with physically aggressive people,13-2053.00,2
Exposed to contaminants,13-1141.00,2
Exposed to contaminants,13-2053.00,2
Exposed to disease or infections,13-1021.00,2
Exposed to disease or infections,13-1051.00,2
Exposed to disease or infections,13-1111.00,2
Exposed to disease or infections,13-1151.00,2
Exposed to disease or infections,13-2041.00,2
Exposed to disease or infections,13-2052.00,2
Exposed to hazardous conditions,13-1022.00,2
Exposed to hazardous conditions,13-1071.00,2
Exposed to hazardous conditions,13-1121.00,2
Exposed to hazardous conditions,13-1151.00,2
Exposed to hazardous conditions,13-2011.01,2
Exposed to hazardous conditions,13-2099.04,2
Exposed to hazardous equipment,13-1111.00,2
Exposed to hazardous equipment,13-1131.00,2
Exposed to hazardous equipment,13-1141.00,2
Exposed to hazardous equipment,13-1151.00,2
Exposed to hazardous equipment,13-2011.01,2
Exposed to hazardous equipment,13-2071.01,2
Exposed to high places,13-1151.00,2
Exposed to high places,13-1199.04,2
Exposed to high places,13-2031.00,2
Exposed to high places,13-2071.01,2
Exposed to minor burns cuts bites or stings,13-1011.00,2
Exposed to minor burns cuts bites or stings,13-1111.00,2
Exposed to minor burns cuts bites or stings,13-1131.00,2
Exposed to minor burns cuts bites or stings,13-1141.00,2
Exposed to minor burns cuts bites or stings,13-2011.01,2
Exposed to minor burns cuts bites or stings,13-2041.00,2
Exposed to minor burns cuts bites or stings,13-2053.00,2
Exposed to minor burns cuts bites or stings,13-2071.00,2
Exposed to minor burns cuts bites or stings,13-2071.01,2
Exposed to radiation,13-1081.01,2
Exposed to radiation,13-1151.00,2
Exposed to radiation,13-1199.05,2
Exposed to whole body vibration,13-1021.00,2
Exposed to whole body vibration,13-1031.02,2
Exposed to whole body vibration,13-1151.00,2
Exposed to whole body vibration,13-2081.00,2
Extremely bright or inadequate lighting,13-1131.00,2
Extremely bright or inadequate lighting,13-2071.00,2
Extremely bright or inadequate lighting,13-2099.01,2
In an open vehicle or equipment,13-1041.07,2
In an open vehicle or equipment,13-1131.00,2
In an open vehicle or equipment,13-2041.00,2
In an open vehicle or equipment,13-2071.00,2
Indoors not environmentally controlled,13-2011.01,2
Indoors not environmentally controlled,13-2041.00,2
Indoors not environmentally controlled,13-2052.00,2
Outdoors exposed to weather,13-2041.00,2
Outdoors exposed to weather,13-2051.00,2
Outdoors exposed to weather,13-2061.00,2
Outdoors under cover,13-1041.07,2
Outdoors under cover,13-2031.00,2
Outdoors under cover,13-2041.00,2
Outdoors under cover,13-2052.00,2
Outdoors under cover,13-2071.00,2
Outdoors under cover,13-2071.01,2
Outdoors under cover,13-2072.00,2
Pace determined by speed of equipment,13-1022.00,2
Pace determined by speed of equipment,13-2052.00,2
Spend time bending or twisting the body,13-2051.00,2
Spend time climbing ladders scaffolds,13-1022.00,2
Spend time climbing ladders scaffolds,13-1041.02,2
Spend time climbing ladders scaffolds,13-1071.00,2
Spend time climbing ladders scaffolds,13-1151.00,2
Spend time climbing ladders scaffolds,13-2041.00,2
Spend time keeping or regaining balance,13-1011.00,2
Spend time keeping or regaining balance,13-1022.00,2
Spend time keeping or regaining balance,13-1041.07,2
Spend time keeping or regaining balance,13-2041.00,2
Spend time keeping or regaining balance,13-2052.00,2
Spend time keeping or regaining balance,13-2071.00,2
Spend time keeping or regaining balance,13-2071.01,2
Spend time keeping or regaining balance,13-2099.04,2
Spend time kneeling crouching stooping,13-1111.00,2
Spend time kneeling crouching stooping,13-1161.00,2
Spend time kneeling crouching stooping,13-2052.00,2
Spend time kneeling crouching stooping,13-2053.00,2
Arm hand steadiness,13-1041.07,3
Arm hand steadiness,13-1051.00,3
Arm hand steadiness,13-1151.00,3
Arm hand steadiness,13-1161.00,3
Arm hand steadiness,13-1199.02,3
Arm hand steadiness,13-1199.06,3
Arm hand steadiness,13-2011.02,3
Control precision,13-1041.07,3
Control precision,13-1151.00,3
Depth perception,13-2061.00,3
Dynamic flexibility,13-1199.06,3
Dynamic strength,13-2021.02,3
Explosive strength,13-1081.00,3
Extent flexibility,13-1199.02,3
Extent flexibility,13-1199.06,3
Glare sensitivity,13-1011.00,3
Glare sensitivity,13-1199.02,3
Gross body coordination,13-1199.02,3
Gross body equilibrium,13-1022.00,3
Manual dexterity,13-1081.02,3
Manual dexterity,13-1131.00,3
Manual dexterity,13-1151.00,3
Manual dexterity,13-1161.00,3
Manual dexterity,13-1199.02,3
Multilimb coordination,13-1081.02,3
Multilimb coordination,13-1151.00,3
Multilimb coordination,13-1199.06,3
Multilimb coordination,13-2071.01,3
Night vision,13-1121.00,3
Night vision,13-1151.00,3
Peripheral vision,13-1031.02,3
Peripheral vision,13-1121.00,3
Peripheral vision,13-1199.02,3
Rate control,13-1081.02,3
Rate control,13-1151.00,3
Rate control,13-1199.02,3
Reaction time,13-1081.02,3
Reaction time,13-1131.00,3
Reaction time,13-1151.00,3
Response orientation,13-1011.00,3
Response orientation,13-1021.00,3
Response orientation,13-1031.02,3
Response orientation,13-1041.07,3
Response orientation,13-1081.02,3
Response orientation,13-1121.00,3
Response orientation,13-1131.00,3
Response orientation,13-1151.00,3
Response orientation,13-2041.00,3
Sound localization,13-1011.00,3
Sound localization,13-1041.03,3
Sound localization,13-1121.00,3
Sound localization,13-1141.00,3
Sound localization,13-1199.02,3
Sound localization,13-2041.00,3
Spatial orientation,13-1021.00,3
Spatial orientation,13-1031.01,3
Spatial orientation,13-1051.00,3
Spatial orientation,13-1081.00,3
Spatial orientation,13-1131.00,3
Spatial orientation,13-1151.00,3
Spatial orientation,13-1199.06,3
Speech of limb movement,13-1121.00,3
Stamina,13-1011.00,3
Stamina,13-2021.02,3
Stamina,13-2031.00,3
Static strength,13-2021.02,3
Trunk strength,13-1023.00,3
Trunk strength,13-1031.02,3
Trunk strength,13-1041.07,3
Trunk strength,13-1071.00,3
Trunk strength,13-1131.00,3
Trunk strength,13-2041.00,3
Trunk strength,13-2052.00,3
Trunk strength,13-2061.00,3
Trunk strength,13-2071.00,3
Trunk strength,13-2072.00,3
Wrist finger speed,13-1031.02,3
Wrist finger speed,13-1041.06,3
Wrist finger speed,13-1041.07,3
Wrist finger speed,13-1074.00,3
Wrist finger speed,13-1141.00,3
Wrist finger speed,13-1199.03,3
Wrist finger speed,13-2031.00,3
Wrist finger speed,13-2041.00,3
Wrist finger speed,13-2052.00,3
Wrist finger speed,13-2071.00,3
Wrist finger speed,13-2081.00,3
Wrist finger speed,13-2099.04,3
Biology,13-1022.00,3
Biology,13-1075.00,3
Biology,13-1199.06,3
Biology,13-2081.00,3
Chemistry,13-2031.00,3
Chemistry,13-2081.00,3
Design,13-2011.01,3
Engineering and technology,13-2011.01,3
Fine arts,13-1031.02,3
Fine arts,13-1199.02,3
Fine arts,13-2011.02,3
Fine arts,13-2021.01,3
Fine arts,13-2041.00,3
Fine arts,13-2053.00,3
Food production,13-1031.01,3
Food production,13-1075.00,3
Food production,13-2053.00,3
Food production,13-2099.04,3
Foreign language,13-1071.00,3
History and archeology,13-1071.00,3
Medicine and dentistry,13-1051.00,3
Medicine and dentistry,13-2021.01,3
Medicine and dentistry,13-2021.02,3
Medicine and dentistry,13-2071.00,3
Medicine and dentistry,13-2081.00,3
Philosophy and theology,13-1199.06,3
Physics,13-1041.03,3
Physics,13-1075.00,3
Physics,13-2052.00,3
Sales_and_Marketing,13-1041.02,3
Sociology and anthropology,13-2011.01,3
Therapy and counseling,13-1022.00,3
Therapy and counseling,13-1161.00,3
Therapy and counseling,13-2061.00,3
Transportation,13-2099.01,3
Equipment maintenance,13-1199.01,3
Equipment selection,13-1023.00,3
Equipment selection,13-1041.03,3
Equipment selection,13-1071.00,3
Equipment selection,13-1074.00,3
Equipment selection,13-1151.00,3
Equipment selection,13-2021.02,3
Equipment selection,13-2099.01,3
Installation,13-1199.06,3
Management of material resources,13-2071.00,3
Operation and control,13-1031.01,3
Operation and control,13-1031.02,3
Operation and control,13-1041.03,3
Operation and control,13-1051.00,3
Operation and control,13-1081.00,3
Operation and control,13-1199.04,3
Operation and control,13-2051.00,3
Operation and control,13-2081.00,3
Operations analysis,13-1031.01,3
Quality control analysis,13-2053.00,3
Repairing,13-1021.00,3
Science,13-1032.00,3
Science,13-1199.04,3
Science,13-2072.00,3
Technology design,13-1023.00,3
Technology design,13-2021.01,3
Troubleshooting,13-1199.06,3
Troubleshooting,13-2099.01,3
Handling and moving objects,13-2051.00,3
Operating vehicles mechanized devices or equipment,13-2031.00,3
Performing general physical activities,13-2051.00,3
Repairing and maintaining electronic equipment,13-1131.00,3
Repairing and maintaining electronic equipment,13-1199.05,3
Repairing and maintaining electronic equipment,13-2053.00,3
Repairing and maintaining mechanical equipment,13-1199.05,3
Repairing and maintaining mechanical equipment,13-2011.02,3
Repairing and maintaining mechanical equipment,13-2041.00,3
Repairing and maintaining mechanical equipment,13-2071.00,3
Cramped work space awkward positions,13-1041.03,3
Cramped work space awkward positions,13-2011.01,3
Cramped work space awkward positions,13-2031.00,3
Cramped work space awkward positions,13-2051.00,3
Deal with physically aggressive people,13-1121.00,3
Deal with physically aggressive people,13-1161.00,3
Deal with physically aggressive people,13-1199.04,3
Deal with physically aggressive people,13-2051.00,3
Deal with physically aggressive people,13-2052.00,3
Exposed to contaminants,13-1161.00,3
Exposed to contaminants,13-2082.00,3
Exposed to disease or infections,13-1031.01,3
Exposed to disease or infections,13-1041.03,3
Exposed to disease or infections,13-1141.00,3
Exposed to disease or infections,13-2021.01,3
Exposed to disease or infections,13-2021.02,3
Exposed to hazardous conditions,13-1199.06,3
Exposed to hazardous conditions,13-2011.02,3
Exposed to hazardous conditions,13-2031.00,3
Exposed to hazardous conditions,13-2041.00,3
Exposed to hazardous equipment,13-2011.02,3
Exposed to hazardous equipment,13-2031.00,3
Exposed to hazardous equipment,13-2041.00,3
Exposed to hazardous equipment,13-2081.00,3
Exposed to high places,13-2041.00,3
Exposed to minor burns cuts bites or stings,13-1151.00,3
Exposed to whole body vibration,13-2099.02,3
Extremely bright or inadequate lighting,13-1199.06,3
Extremely bright or inadequate lighting,13-2031.00,3
In an open vehicle or equipment,13-1011.00,3
In an open vehicle or equipment,13-1121.00,3
In an open vehicle or equipment,13-2099.04,3
Indoors not environmentally controlled,13-2031.00,3
Outdoors exposed to weather,13-1071.00,3
Outdoors exposed to weather,13-2052.00,3
Outdoors exposed to weather,13-2071.00,3
Outdoors under cover,13-1071.00,3
Outdoors under cover,13-1141.00,3
Outdoors under cover,13-1161.00,3
Outdoors under cover,13-2053.00,3
Pace determined by speed of equipment,13-1071.00,3
Pace determined by speed of equipment,13-1075.00,3
Pace determined by speed of equipment,13-1161.00,3
Pace determined by speed of equipment,13-1199.05,3
Pace determined by speed of equipment,13-2021.01,3
Spend time bending or twisting the body,13-1111.00,3
Spend time bending or twisting the body,13-1161.00,3
Spend time bending or twisting the body,13-2052.00,3
Spend time bending or twisting the body,13-2053.00,3
Spend time climbing ladders scaffolds,13-1121.00,3
Spend time climbing ladders scaffolds,13-2011.02,3
Spend time climbing ladders scaffolds,13-2021.01,3
Spend time climbing ladders scaffolds,13-2081.00,3
Spend time keeping or regaining balance,13-2072.00,3
Spend time keeping or regaining balance,13-2082.00,3
Spend time kneeling crouching stooping,13-1199.03,3
Spend time kneeling crouching stooping,13-2011.02,3
Spend time kneeling crouching stooping,13-2051.00,3
Spend time kneeling crouching stooping,13-2071.00,3
Spend time kneeling crouching stooping,13-2072.00,3
Biology,13-1041.03,4
Biology,13-1161.00,4
Biology,13-1199.03,4
Biology,13-1199.04,4
Biology,13-2099.01,4
Building and construction,13-1032.00,4
Building and construction,13-1041.03,4
Building and construction,13-2011.01,4
Building and construction,13-2011.02,4
Chemistry,13-1041.03,4
Chemistry,13-1151.00,4
Chemistry,13-2011.02,4
Chemistry,13-2071.01,4
Chemistry,13-2099.01,4
Design,13-1041.02,4
Design,13-2053.00,4
Engineering and technology,13-1041.03,4
Fine arts,13-1041.01,4
Fine arts,13-1041.02,4
Fine arts,13-1051.00,4
Fine arts,13-1081.00,4
Fine arts,13-2099.04,4
Food production,13-1041.03,4
Food production,13-1081.01,4
Food production,13-2011.02,4
Foreign language,13-2011.01,4
Foreign language,13-2011.02,4
Geography,13-2011.01,4
Geography,13-2071.00,4
History and archeology,13-1022.00,4
History and archeology,13-1031.02,4
History and archeology,13-1199.06,4
Mechanical,13-2011.01,4
Mechanical,13-2011.02,4
Mechanical,13-2052.00,4
Medicine and dentistry,13-1081.00,4
Philosophy and theology,13-2053.00,4
Philosophy and theology,13-2061.00,4
Physics,13-1151.00,4
Physics,13-1199.03,4
Physics,13-2021.02,4
Public safety and security,13-2099.01,4
Sales_and_Marketing,13-2031.00,4
Therapy and counseling,13-2021.02,4
Therapy and counseling,13-2099.01,4
Controlling machines and processes,13-1111.00,4
Controlling machines and processes,13-2051.00,4
Operating vehicles mechanized devices or equipment,13-1041.07,4
Repairing and maintaining mechanical equipment,13-1031.02,4
Repairing and maintaining mechanical equipment,13-1141.00,4
Repairing and maintaining mechanical equipment,13-1199.04,4
Repairing and maintaining mechanical equipment,13-1199.06,4
Repairing and maintaining mechanical equipment,13-2052.00,4
Repairing and maintaining mechanical equipment,13-2072.00,4
Cramped work space awkward positions,13-1041.07,4
Cramped work space awkward positions,13-1141.00,4
Cramped work space awkward positions,13-1151.00,4
Deal with physically aggressive people,13-1081.02,4
Deal with physically aggressive people,13-1199.06,4
Deal with physically aggressive people,13-2041.00,4
Deal with physically aggressive people,13-2082.00,4
Exposed to contaminants,13-2061.00,4
Exposed to contaminants,13-2071.00,4
Exposed to disease or infections,13-2072.00,4
Exposed to disease or infections,13-2082.00,4
Exposed to hazardous conditions,13-1199.04,4
Exposed to hazardous conditions,13-2081.00,4
Exposed to hazardous equipment,13-1041.07,4
Exposed to high places,13-1075.00,4
Exposed to high places,13-2021.02,4
Exposed to high places,13-2099.04,4
Exposed to minor burns cuts bites or stings,13-2099.04,4
Exposed to radiation,13-2021.02,4
Exposed to whole body vibration,13-1075.00,4
Exposed to whole body vibration,13-1081.01,4
Exposed to whole body vibration,13-1199.01,4
Exposed to whole body vibration,13-2071.01,4
Extremely bright or inadequate lighting,13-1199.03,4
Extremely bright or inadequate lighting,13-1199.04,4
In an enclosed vehicle or equipment,13-2099.01,4
In an open vehicle or equipment,13-1075.00,4
In an open vehicle or equipment,13-1151.00,4
In an open vehicle or equipment,13-2072.00,4
Indoors not environmentally controlled,13-2071.00,4
Outdoors exposed to weather,13-1041.07,4
Outdoors exposed to weather,13-1141.00,4
Outdoors exposed to weather,13-2031.00,4
Outdoors under cover,13-1031.01,4
Pace determined by speed of equipment,13-1041.01,4
Pace determined by speed of equipment,13-1111.00,4
Pace determined by speed of equipment,13-1199.02,4
Pace determined by speed of equipment,13-1199.06,4
Pace determined by speed of equipment,13-2011.02,4
Pace determined by speed of equipment,13-2053.00,4
Spend time bending or twisting the body,13-2082.00,4
Spend time climbing ladders scaffolds,13-1081.01,4
Spend time keeping or regaining balance,13-1021.00,4
Spend time keeping or regaining balance,13-1081.01,4
Spend time keeping or regaining balance,13-1141.00,4
Spend time keeping or regaining balance,13-2021.02,4
Spend time kneeling crouching stooping,13-1041.03,4
Spend time kneeling crouching stooping,13-1131.00,4
Spend time kneeling crouching stooping,13-2061.00,4
Spend time walking and running,13-2099.01,4
Biology,13-2021.02,5
Chemistry,13-1199.03,5
Chemistry,13-1199.06,5
Chemistry,13-2021.01,5
Design,13-2031.00,5
Design,13-2071.01,5
Fine arts,13-1021.00,5
Fine arts,13-1041.06,5
Fine arts,13-1074.00,5
Fine arts,13-1081.01,5
Fine arts,13-1111.00,5
Fine arts,13-2021.02,5
Fine arts,13-2052.00,5
Fine arts,13-2081.00,5
Food production,13-1031.02,5
Food production,13-1199.02,5
Food production,13-2051.00,5
Foreign language,13-2021.02,5
Foreign language,13-2031.00,5
Foreign language,13-2061.00,5
History and archeology,13-1074.00,5
History and archeology,13-1081.01,5
History and archeology,13-1199.01,5
History and archeology,13-2053.00,5
History and archeology,13-2071.00,5
History and archeology,13-2071.01,5
Mechanical,13-1151.00,5
Mechanical,13-2072.00,5
Medicine and dentistry,13-1071.00,5
Medicine and dentistry,13-1131.00,5
Medicine and dentistry,13-1199.03,5
Philosophy and theology,13-1021.00,5
Philosophy and theology,13-1074.00,5
Physics,13-1074.00,5
Physics,13-2021.01,5
Physics,13-2053.00,5
Physics,13-2081.00,5
Public safety and security,13-2011.02,5
Therapy and counseling,13-1051.00,5
Therapy and counseling,13-1199.01,5
Therapy and counseling,13-1199.05,5
Therapy and counseling,13-1199.06,5
Therapy and counseling,13-2011.02,5
Therapy and counseling,13-2021.01,5
Transportation,13-2052.00,5
Handling and moving objects,13-2071.01,5
Operating vehicles mechanized devices or equipment,13-1141.00,5
Operating vehicles mechanized devices or equipment,13-2011.01,5
Operating vehicles mechanized devices or equipment,13-2071.01,5
Repairing and maintaining electronic equipment,13-2011.01,5
Repairing and maintaining mechanical equipment,13-1011.00,5
Repairing and maintaining mechanical equipment,13-1075.00,5
Repairing and maintaining mechanical equipment,13-2099.02,5
Cramped work space awkward positions,13-1071.00,5
Cramped work space awkward positions,13-1074.00,5
Cramped work space awkward positions,13-1131.00,5
Cramped work space awkward positions,13-2082.00,5
Deal with physically aggressive people,13-2061.00,5
Exposed to contaminants,13-1131.00,5
Exposed to contaminants,13-2011.02,5
Exposed to disease or infections,13-1023.00,5
Exposed to disease or infections,13-1031.02,5
Exposed to disease or infections,13-2081.00,5
Exposed to disease or infections,13-2099.04,5
Exposed to hazardous conditions,13-1041.07,5
Exposed to hazardous conditions,13-1075.00,5
Exposed to hazardous conditions,13-2021.02,5
Exposed to high places,13-1074.00,5
Exposed to high places,13-2011.02,5
Exposed to minor burns cuts bites or stings,13-1075.00,5
Exposed to minor burns cuts bites or stings,13-2031.00,5
Exposed to radiation,13-1023.00,5
Exposed to radiation,13-1081.02,5
Exposed to whole body vibration,13-1051.00,5
Extremely bright or inadequate lighting,13-1041.07,5
Extremely bright or inadequate lighting,13-1075.00,5
In an enclosed vehicle or equipment,13-1041.07,5
In an enclosed vehicle or equipment,13-2031.00,5
In an open vehicle or equipment,13-1111.00,5
In an open vehicle or equipment,13-2021.02,5
Indoors not environmentally controlled,13-2082.00,5
Outdoors exposed to weather,13-1199.04,5
Outdoors exposed to weather,13-2053.00,5
Outdoors under cover,13-1022.00,5
Outdoors under cover,13-1041.03,5
Pace determined by speed of equipment,13-2021.02,5
Pace determined by speed of equipment,13-2041.00,5
Pace determined by speed of equipment,13-2071.01,5
Spend time bending or twisting the body,13-1199.05,5
Spend time bending or twisting the body,13-2011.01,5
Spend time bending or twisting the body,13-2011.02,5
Spend time bending or twisting the body,13-2061.00,5
Spend time bending or twisting the body,13-2072.00,5
Spend time climbing ladders scaffolds,13-1031.02,5
Spend time climbing ladders scaffolds,13-1075.00,5
Spend time climbing ladders scaffolds,13-1081.02,5
Spend time keeping or regaining balance,13-1031.01,5
Spend time keeping or regaining balance,13-1031.02,5
Spend time keeping or regaining balance,13-1081.00,5
Spend time keeping or regaining balance,13-2021.01,5
Spend time keeping or regaining balance,13-2081.00,5
Spend time kneeling crouching stooping,13-1041.07,5
Spend time kneeling crouching stooping,13-2041.00,5
Spend time kneeling crouching stooping,13-2082.00,5
Arm hand steadiness,13-1081.02,6
Auditory attention,13-2071.00,6
Control precision,13-1081.02,6
Depth perception,13-1041.03,6
Depth perception,13-2071.01,6
Dynamic strength,13-1041.03,6
Dynamic strength,13-1051.00,6
Dynamic strength,13-1141.00,6
Dynamic strength,13-1199.03,6
Dynamic strength,13-2011.01,6
Dynamic strength,13-2051.00,6
Dynamic strength,13-2053.00,6
Explosive strength,13-1022.00,6
Explosive strength,13-1121.00,6
Extent flexibility,13-2021.02,6
Glare sensitivity,13-1031.02,6
Glare sensitivity,13-2021.01,6
Gross body coordination,13-1022.00,6
Gross body equilibrium,13-1032.00,6
Gross body equilibrium,13-2021.02,6
Manual dexterity,13-1041.07,6
Manual dexterity,13-1051.00,6
Reaction time,13-1199.02,6
Response orientation,13-1199.02,6
Sound localization,13-1031.02,6
Sound localization,13-1041.07,6
Spatial orientation,13-1023.00,6
Spatial orientation,13-1031.02,6
Spatial orientation,13-1081.01,6
Spatial orientation,13-1081.02,6
Speech of limb movement,13-2021.02,6
Static strength,13-1199.06,6
Trunk strength,13-1031.01,6
Trunk strength,13-1081.01,6
Trunk strength,13-1081.02,6
Trunk strength,13-1199.02,6
Trunk strength,13-2011.02,6
Trunk strength,13-2081.00,6
Wrist finger speed,13-1032.00,6
Wrist finger speed,13-1041.01,6
Wrist finger speed,13-1081.02,6
Wrist finger speed,13-1131.00,6
Wrist finger speed,13-1161.00,6
Wrist finger speed,13-1199.04,6
Wrist finger speed,13-1199.06,6
Wrist finger speed,13-2011.02,6
Wrist finger speed,13-2053.00,6
Wrist finger speed,13-2082.00,6
Wrist finger speed,13-2099.02,6
Biology,13-1151.00,6
Biology,13-2021.01,6
Building and construction,13-1041.07,6
Building and construction,13-1074.00,6
Building and construction,13-1199.03,6
Building and construction,13-2031.00,6
Building and construction,13-2061.00,6
